Competition Schedule for 2021: The Event Line-up for Each Session of the Olympic Games Tokyo 2020;;;;;;
SPORT(DISCIPLINE);VENUE;DATE;START TIME;END TIME;EVENT;
Basketball;Saitama Super Arena;2021-08-04;17:20;19:20;Women's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-04;21:00;23:00;Women's Quarterfinal;
Basketball;Saitama Super Arena;2021-08-05;13:15;15:15;Men's Semifinal;
Basketball;Saitama Super Arena;2021-08-05;20:00;22:00;Men's Semifinal;
Basketball;Saitama Super Arena;2021-08-06;13:40;15:40;Women's Semifinal;
Basketball;Saitama Super Arena;2021-08-06;20:00;22:00;Women's Semifinal;
Basketball;Saitama Super Arena;2021-08-07;11:30;13:30;Men's Gold Medal Game;
Basketball;Saitama Super Arena;2021-08-07;16:00;18:00;Women's Bronze Medal Game;
Basketball;Saitama Super Arena;2021-08-07;20:00;22:30;"Men's Bronze Medal Game /
Men's Victory Ceremony";
Basketball;Saitama Super Arena;2021-08-08;11:30;14:00;"Women's Gold Medal Game /
Women's Victory Ceremony";
Beach Volleyball;Shiokaze Park;2021-07-24;09:00;12:50;Men's or Women's Preliminaries (4 matches);
Beach Volleyball;Shiokaze Park;2021-07-24;15:00;17:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-24;20:00;22:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-25;09:00;12:50;Men's or Women's Preliminaries (4 matches);
Beach Volleyball;Shiokaze Park;2021-07-25;15:00;17:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-25;20:00;22:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-26;09:00;12:50;Men's or Women's Preliminaries (4 matches);
Beach Volleyball;Shiokaze Park;2021-07-26;15:00;17:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-26;20:00;22:50;Men's or Women's Preliminaries (3 matches);
Beach Volleyball;Shiokaze Park;2021-07-27;09:00;12:50;Men's or Women's Preliminaries (4 matches);
Beach Volleyball;Shiokaze Park;2021-07-27;15:00;17:50;Men's or Women's Preliminaries (3 matches);
